step,timestamp,simulation_time,pos_x,pos_y,speed,heading,velocity_x,velocity_y,on_lane,out_of_road,dist_to_left_side,dist_to_right_side,crash_vehicle,crash_object,crash_sidewalk,nav_route_completion,nav_distance_to_dest,nav_current_lane,nav_route_length,nav_checkpoints_count,lane_longitudinal_pos,lane_lateral_pos,lane_length,custom_dest_x,custom_dest_y,distance_to_custom_dest,action_steering,action_throttle,action_source,action_success,reward,control_mode,expert_takeover,obs_shape,obs_mean,obs_std,obs_min,obs_max,obs_0_speed_related,obs_1_steering_related,obs_2,obs_3,obs_4
32,2025-08-12T22:39:22.504693,3.3000000000000016,235.04360961914062,6.743653297424316,0.04774947974404452,0.013491307766232197,0.04773251712322235,-0.0012726448476314545,True,,2.0063467025756836,8.493653297424316,False,False,False,0.44556186545859855,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58221435546875,0.2563467025756836,75.58282470703125,637.2861328125,-0.2431640625,402.30319795122335,-0.09489476680755615,0.20977678894996643,expert,True,0.0009930709010357005,unknown,True,[259],0.9505468010902405,0.18721292912960052,0.0,1.0,0.11146370321512222,0.4718696177005768,0.49325454235076904,0.014467878267168999,0.49915212392807007
33,2025-08-12T22:39:22.506463,3.4000000000000017,235.04498291015625,6.743591785430908,0.031793855254290994,0.01344350402466521,-0.03179093822836876,0.0004306721384637058,True,,2.006408214569092,8.493591785430908,False,False,False,0.445564468746166,,"('2S0_0_', '3S0_0_', 0)",0,11,38.583587646484375,0.2564082145690918,75.58282470703125,637.2861328125,-0.2431640625,402.3018237990456,-0.09948064386844635,-0.2309434413909912,expert,True,0.0015163633642693096,unknown,True,[259],0.9496981501579285,0.18930169939994812,0.0,1.0,0.11146712303161621,0.4718662202358246,0.493278443813324,0.013758739456534386,0.4991609752178192
34,2025-08-12T22:39:22.508202,3.5000000000000018,235.0442657470703,6.743581771850586,0.0023213796645257176,0.013454156669025608,0.0023184949532151222,0.00011569225898711011,True,,2.006418228149414,8.493581771850586,False,False,False,0.44556310925154746,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58287048339844,0.25641822814941406,75.58282470703125,637.2861328125,-0.2431640625,402.30254068006656,-0.09709399193525314,-0.2865333557128906,expert,True,-0.0007067168774471343,unknown,True,[259],0.9498156905174255,0.18896986544132233,0.0,1.0,0.11146768182516098,0.4718656539916992,0.49327313899993896,0.012448851019144058,0.4991714358329773
35,2025-08-12T22:39:22.509905,3.600000000000002,235.0441131591797,6.743601322174072,0.004953993998815629,0.013457086146225095,-0.004949021153151989,0.00022191477182786912,True,,2.0063986778259277,8.493601322174072,False,False,False,0.4455628199973733,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58271789550781,0.25639867782592773,75.58282470703125,637.2861328125,-0.2431640625,402.3026935844733,-0.09146036952733994,-0.10295309126377106,expert,True,-0.00013029491763032967,unknown,True,[259],0.9499999284744263,0.1884668618440628,0.0,1.0,0.11146659404039383,0.4718667268753052,0.4932716488838196,0.0125658567994833,0.4990469515323639
36,2025-08-12T22:39:22.511558,3.700000000000002,235.0440673828125,6.7436089515686035,0.0023143001830623487,0.013457086146225095,0.0023132108617573977,-7.099891809048131e-05,True,,2.0063910484313965,8.493608951568604,False,False,False,0.44556273322112105,,"('2S0_0_', '3S0_0_', 0)",0,11,38.582672119140625,0.2563910484313965,75.58282470703125,637.2861328125,-0.2431640625,402.30273948643594,-0.07188685238361359,-0.24158832430839539,expert,True,-3.536201636371943e-05,unknown,True,[259],0.9488863348960876,0.19210796058177948,0.0,1.0,0.1114661693572998,0.471867173910141,0.4932716488838196,0.012448537163436413,0.4989170730113983
37,2025-08-12T22:39:22.513359,3.800000000000002,235.04388427734375,6.743613243103027,0.004954237461012118,0.013459882465369333,-0.004953654482960701,7.600054959766567e-05,True,,2.0063867568969727,8.493613243103027,False,False,False,0.44556238611611204,,"('2S0_0_', '3S0_0_', 0)",0,11,38.582489013671875,0.25638675689697266,75.58282470703125,637.2861328125,-0.2431640625,402.3029226388202,-0.11162874102592468,-0.24719899892807007,expert,True,-0.00016081140017544548,unknown,True,[259],0.9500563740730286,0.18831853568553925,0.0,1.0,0.1114659309387207,0.4718674123287201,0.49327024817466736,0.01256586704403162,0.49920937418937683
38,2025-08-12T22:39:22.515121,3.900000000000002,235.04383850097656,6.743611812591553,0.002355148971596539,0.013461347203969076,0.002354088006541133,-7.068476406857371e-05,True,,2.0063881874084473,8.493611812591553,False,False,False,0.4455622993398598,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58244323730469,0.25638818740844727,75.58282470703125,637.2861328125,-0.2431640625,402.3029683834398,-0.08934669941663742,-0.043547309935092926,expert,True,-3.517819681531557e-05,unknown,True,[259],0.9499406814575195,0.1886240392923355,0.0,1.0,0.11146601289510727,0.47186732292175293,0.49326953291893005,0.012450352311134338,0.4992052912712097
39,2025-08-12T22:39:22.517526,4.000000000000002,235.0436553955078,6.743612289428711,0.00491573710584965,0.013463477732841511,-0.004915507975965738,4.7461900976486504e-05,True,,2.006387710571289,8.493612289428711,False,False,False,0.4455619522348508,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58226013183594,0.25638771057128906,75.58282470703125,637.2861328125,-0.2431640625,402.3031514695744,-0.09048435091972351,-0.10051769763231277,expert,True,-0.00016098465177367656,unknown,True,[259],0.9500542283058167,0.18832381069660187,0.0,1.0,0.11146598309278488,0.4718673527240753,0.4932684600353241,0.012564156204462051,0.4994446039199829
40,2025-08-12T22:39:22.520171,4.100000000000001,235.04360961914062,6.743610858917236,0.0023556794220933033,0.013463610890894984,0.0023545767180621624,-7.206953887362033e-05,True,,2.0063891410827637,8.493610858917236,False,False,False,0.44556186545859855,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58221435546875,0.25638914108276367,75.58282470703125,637.2861328125,-0.2431640625,402.30319721419414,-0.08220057934522629,-0.297151654958725,expert,True,-3.517580978808013e-05,unknown,True,[259],0.949955403804779,0.1885838806629181,0.0,1.0,0.11146606504917145,0.47186726331710815,0.4932684004306793,0.012450375594198704,0.4990909695625305
41,2025-08-12T22:39:22.521870,4.200000000000001,235.04342651367188,6.7436137199401855,0.004913972567411953,0.01346654036809447,-0.004913300275802612,8.128218178171664e-05,True,,2.0063862800598145,8.493613719940186,False,False,False,0.44556151835358954,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58203125,0.25638628005981445,75.58282470703125,637.2861328125,-0.2431640625,402.30338034173474,-0.1026778370141983,-0.2590278089046478,expert,True,-0.0001609925921966462,unknown,True,[259],0.9500557780265808,0.18831881880760193,0.0,1.0,0.11146590113639832,0.4718674421310425,0.4932669401168823,0.012564077973365784,0.4992952048778534
